task,failure_mode,benign,strategy,mode,adapter,n_agents,rep,model,correct,oracle_passed,oracle_total,wall_clock_s,prompt_tokens,completion_tokens,total_tokens,estimated_usd,wasted_tokens,wasted_token_rate,stall_events,fp_stall_events,notify_events,fp_notify_events,stall_wait_s,reads_observed,llm_calls,tool_calls,file_read_events,write_events,write_applied_events,write_refused_events,search_events,coord_events,run_tests_events,notification_delivered_events,agent_turns,mean_agent_turns,tokens_per_agent_turn,read_set_visibility,critical_paths_read_fraction,timed_out,agents_done,agents_errored,agents_timeout,log,run_id,provider,run_dir
rw_b_signature_drift,stale_read_signature_drift,False,file_lock,strategy,,2,0,gpt-5-mini,True,3,3,102.67,108972,4307,113279,0.035857,0,0.0,3,0,0,0,0.0,17,36,35,17,6,6,0,4,3,3,0,36,18.0,3146.6388888888887,1.0,1.0,False,2,0,0,rw_b_signature_drift__file_lock-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,file_lock,strategy,,2,1,gpt-5-mini,True,3,3,438.78,238570,5521,244091,0.070684,0,0.0,39,0,0,0,0.0,43,69,69,43,8,8,0,10,39,2,0,69,34.5,3537.550724637681,1.0,1.0,False,2,0,0,rw_b_signature_drift__file_lock-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,file_lock,strategy,,2,2,gpt-5-mini,True,3,3,99.31,93699,5394,99093,0.034213,0,0.0,3,0,0,0,0.167,15,34,33,15,7,7,0,5,3,3,0,34,17.0,2914.5,1.0,1.0,False,2,0,0,rw_b_signature_drift__file_lock-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,file_lock,strategy,,2,3,gpt-5-mini,True,3,3,83.9,136696,4095,140791,0.042364,0,0.0,3,0,0,0,0.0,21,40,40,21,7,7,0,5,3,3,0,40,20.0,3519.775,1.0,1.0,False,2,0,0,rw_b_signature_drift__file_lock-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,file_lock,strategy,,2,4,gpt-5-mini,True,3,3,63.47,80274,2944,83218,0.025957,0,0.0,1,0,0,0,0.0,14,30,30,14,6,6,0,4,1,2,0,30,15.0,2773.9333333333334,1.0,1.0,False,2,0,0,rw_b_signature_drift__file_lock-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,git_hash,strategy,,2,0,gpt-5-mini,False,2,3,36.88,68951,3675,72626,0.024588,0,0.0,0,0,0,0,0.0,12,28,28,12,7,7,0,3,0,2,0,28,14.0,2593.785714285714,1.0,1.0,False,2,0,0,rw_b_signature_drift__git_hash-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,git_hash,strategy,,2,1,gpt-5-mini,True,3,3,88.07,199304,7005,206309,0.063836,0,0.0,0,0,0,0,0.0,20,50,50,20,13,13,0,11,2,4,0,50,25.0,4126.18,1.0,1.0,False,2,0,0,rw_b_signature_drift__git_hash-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,git_hash,strategy,,2,2,gpt-5-mini,True,3,3,77.06,120961,5981,126942,0.042202,0,0.0,0,0,0,0,0.0,20,38,38,20,10,10,0,2,1,3,0,38,19.0,3340.5789473684213,1.0,1.0,False,2,0,0,rw_b_signature_drift__git_hash-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,git_hash,strategy,,2,3,gpt-5-mini,True,3,3,94.64,124976,6072,131048,0.043388,0,0.0,0,0,0,0,0.0,18,37,37,18,7,7,0,6,0,3,0,37,18.5,3541.837837837838,1.0,1.0,False,2,0,0,rw_b_signature_drift__git_hash-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,git_hash,strategy,,2,4,gpt-5-mini,True,3,3,82.01,86473,5156,91629,0.03193,0,0.0,0,0,0,0,0.0,14,32,32,14,8,8,0,4,0,3,0,32,16.0,2863.40625,1.0,1.0,False,2,0,0,rw_b_signature_drift__git_hash-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,naive,strategy,,2,0,gpt-5-mini,True,3,3,99.04,113165,6424,119589,0.041139,0,0.0,0,0,0,0,0.0,15,36,35,15,7,7,0,7,0,4,0,36,18.0,3321.9166666666665,1.0,1.0,False,2,0,0,rw_b_signature_drift__naive-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,naive,strategy,,2,1,gpt-5-mini,True,3,3,107.5,239621,6863,246484,0.073631,10720,0.043491666801901946,0,0,0,0,0.0,19,50,49,19,9,7,2,10,0,7,0,50,25.0,4929.68,1.0,1.0,False,2,0,0,rw_b_signature_drift__naive-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,naive,strategy,,2,2,gpt-5-mini,False,2,3,64.53,82094,4874,86968,0.030271,0,0.0,0,0,0,0,0.0,13,31,30,13,7,7,0,4,0,3,0,31,15.5,2805.4193548387098,1.0,1.0,False,2,0,0,rw_b_signature_drift__naive-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,naive,strategy,,2,3,gpt-5-mini,True,3,3,73.69,132396,5954,138350,0.045007,0,0.0,0,0,0,0,0.0,16,41,41,16,10,10,0,8,0,3,0,41,20.5,3374.390243902439,1.0,1.0,False,2,0,0,rw_b_signature_drift__naive-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,naive,strategy,,2,4,gpt-5-mini,True,3,3,92.0,197945,5482,203427,0.06045,0,0.0,0,0,0,0,0.0,22,51,50,22,10,10,0,8,0,5,0,51,25.5,3988.764705882353,1.0,1.0,False,2,0,0,rw_b_signature_drift__naive-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,notify,strategy,,2,0,gpt-5-mini,True,3,3,50.33,122392,4624,127016,0.039846,0,0.0,0,0,5,0,0.0,20,38,38,20,8,8,0,5,5,2,5,38,19.0,3342.5263157894738,1.0,1.0,False,2,0,0,rw_b_signature_drift__notify-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,notify,strategy,,2,1,gpt-5-mini,True,3,3,42.28,86430,3523,89953,0.028653,0,0.0,0,0,5,0,0.0,15,31,31,15,8,8,0,3,5,2,5,31,15.5,2901.7096774193546,1.0,1.0,False,2,0,0,rw_b_signature_drift__notify-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,notify,strategy,,2,2,gpt-5-mini,True,3,3,51.0,95266,5660,100926,0.035137,0,0.0,0,0,2,0,0.0,14,32,31,14,8,8,0,4,2,2,2,32,16.0,3153.9375,1.0,1.0,False,2,0,0,rw_b_signature_drift__notify-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,notify,strategy,,2,3,gpt-5-mini,True,3,3,48.9,88271,4592,92863,0.031252,0,0.0,0,0,5,0,0.0,14,31,31,14,8,8,0,3,5,2,5,31,15.5,2995.5806451612902,1.0,1.0,False,2,0,0,rw_b_signature_drift__notify-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_b_signature_drift,stale_read_signature_drift,False,notify,strategy,,2,4,gpt-5-mini,True,3,3,70.95,180584,6506,187090,0.058158,0,0.0,0,0,7,0,0.0,20,49,49,20,11,11,0,12,7,3,7,49,24.5,3818.1632653061224,1.0,1.0,False,2,0,0,rw_b_signature_drift__notify-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_dep,strategy,,2,0,gpt-5-mini,True,2,2,25.37,46552,1449,48001,0.014536,0,0.0,0,0,0,0,0.02,10,21,21,10,3,3,0,4,3,2,0,21,10.5,2285.7619047619046,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_dep-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_dep,strategy,,2,1,gpt-5-mini,True,2,2,26.17,37854,1799,39653,0.013062,0,0.0,0,0,0,0,0.016,8,17,17,8,3,3,0,2,1,2,0,17,8.5,2332.529411764706,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_dep-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_dep,strategy,,2,2,gpt-5-mini,True,2,2,25.93,55086,1565,56651,0.016901,0,0.0,0,0,0,0,0.02,13,22,22,13,3,3,0,0,1,2,0,22,11.0,2575.0454545454545,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_dep-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_dep,strategy,,2,3,gpt-5-mini,True,2,2,25.11,45892,1398,47290,0.014269,0,0.0,0,0,0,0,0.015,10,20,20,10,3,3,0,2,1,2,0,20,10.0,2364.5,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_dep-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_dep,strategy,,2,4,gpt-5-mini,True,2,2,39.44,42432,1549,43981,0.013706,0,0.0,0,0,0,0,0.016,9,18,18,9,3,3,0,1,1,2,0,18,9.0,2443.3888888888887,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_dep-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_scope,strategy,,2,0,gpt-5-mini,True,2,2,26.9,46467,1540,48007,0.014697,0,0.0,0,0,0,0,0.09,10,20,20,10,3,3,0,2,1,2,0,20,10.0,2400.35,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_scope-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_scope,strategy,,2,1,gpt-5-mini,True,2,2,34.68,42748,1762,44510,0.014211,0,0.0,0,0,0,0,0.129,9,18,18,9,3,3,0,1,1,2,0,18,9.0,2472.777777777778,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_scope-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_scope,strategy,,2,2,gpt-5-mini,True,2,2,25.56,53127,1625,54752,0.016532,0,0.0,0,0,0,0,0.016,11,21,21,11,3,3,0,2,1,2,0,21,10.5,2607.2380952380954,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_scope-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_scope,strategy,,2,3,gpt-5-mini,True,2,2,25.32,55048,1608,56656,0.016978,0,0.0,0,0,0,0,0.012,13,22,22,13,3,3,0,0,1,2,0,22,11.0,2575.2727272727275,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_scope-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,ast_scope,strategy,,2,4,gpt-5-mini,True,2,2,34.42,47834,1688,49522,0.015334,0,0.0,0,0,0,0,0.011,11,20,20,11,3,3,0,2,1,2,0,20,10.0,2476.1,1.0,1.0,False,2,0,0,rw_c_benign_overlap__ast_scope-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,file_lock,strategy,,2,0,gpt-5-mini,True,2,2,33.37,41562,1492,43054,0.013374,0,0.0,1,1,0,0,0.0,9,18,18,9,3,3,0,1,1,2,0,18,9.0,2391.8888888888887,1.0,1.0,False,2,0,0,rw_c_benign_overlap__file_lock-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,file_lock,strategy,,2,1,gpt-5-mini,True,2,2,33.3,41818,1568,43386,0.013591,0,0.0,1,1,0,0,0.0,8,18,18,8,3,3,0,2,1,2,0,18,9.0,2410.3333333333335,1.0,0.6666666666666666,False,2,0,0,rw_c_benign_overlap__file_lock-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,file_lock,strategy,,2,2,gpt-5-mini,True,2,2,207.43,98090,2529,100619,0.02958,0,0.0,21,21,0,0,0.0,22,37,37,22,3,3,0,5,21,2,0,37,18.5,2719.4324324324325,1.0,1.0,False,2,0,0,rw_c_benign_overlap__file_lock-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,file_lock,strategy,,2,3,gpt-5-mini,True,2,2,31.98,41217,1617,42834,0.013538,0,0.0,1,1,0,0,0.0,8,18,18,8,3,3,0,2,1,2,0,18,9.0,2379.6666666666665,1.0,1.0,False,2,0,0,rw_c_benign_overlap__file_lock-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,file_lock,strategy,,2,4,gpt-5-mini,True,2,2,39.01,52376,1665,54041,0.016424,0,0.0,1,1,0,0,0.0,11,21,21,11,3,3,0,2,1,2,0,21,10.5,2573.3809523809523,1.0,1.0,False,2,0,0,rw_c_benign_overlap__file_lock-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,git_hash,strategy,,2,0,gpt-5-mini,True,2,2,24.54,46923,1517,48440,0.014765,0,0.0,0,0,0,0,0.0,11,20,20,11,3,3,0,1,1,2,0,20,10.0,2422.0,1.0,1.0,False,2,0,0,rw_c_benign_overlap__git_hash-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,git_hash,strategy,,2,1,gpt-5-mini,True,2,2,32.04,41508,1850,43358,0.014077,0,0.0,0,0,0,0,0.0,9,18,18,9,3,3,0,1,1,2,0,18,9.0,2408.777777777778,1.0,1.0,False,2,0,0,rw_c_benign_overlap__git_hash-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,git_hash,strategy,,2,2,gpt-5-mini,True,2,2,26.29,42507,1483,43990,0.013593,0,0.0,0,0,0,0,0.0,9,18,18,9,3,3,0,0,1,2,0,18,9.0,2443.8888888888887,1.0,1.0,False,2,0,0,rw_c_benign_overlap__git_hash-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,git_hash,strategy,,2,3,gpt-5-mini,True,2,2,23.38,42763,1423,44186,0.013537,0,0.0,0,0,0,0,0.0,9,19,19,9,3,3,0,2,1,2,0,19,9.5,2325.5789473684213,1.0,1.0,False,2,0,0,rw_c_benign_overlap__git_hash-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,git_hash,strategy,,2,4,gpt-5-mini,True,2,2,22.42,29177,1523,30700,0.01034,0,0.0,0,0,0,0,0.0,6,16,16,6,3,3,0,2,1,2,0,16,8.0,1918.75,1.0,0.6666666666666666,False,2,0,0,rw_c_benign_overlap__git_hash-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,naive,strategy,,2,0,gpt-5-mini,True,2,2,28.12,39168,1462,40630,0.012716,0,0.0,0,0,0,0,0.0,8,18,18,8,3,3,0,2,0,2,0,18,9.0,2257.222222222222,1.0,1.0,False,2,0,0,rw_c_benign_overlap__naive-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,naive,strategy,,2,1,gpt-5-mini,True,2,2,27.78,47207,1800,49007,0.015402,0,0.0,0,0,0,0,0.0,11,20,20,11,3,3,0,1,0,2,0,20,10.0,2450.35,1.0,1.0,False,2,0,0,rw_c_benign_overlap__naive-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,naive,strategy,,2,2,gpt-5-mini,True,2,2,28.92,41517,1711,43228,0.013801,0,0.0,0,0,0,0,0.0,9,18,18,9,3,3,0,1,0,2,0,18,9.0,2401.5555555555557,1.0,1.0,False,2,0,0,rw_c_benign_overlap__naive-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,naive,strategy,,2,3,gpt-5-mini,True,2,2,29.38,49524,1933,51457,0.016247,0,0.0,0,0,0,0,0.0,9,20,20,9,3,3,0,3,0,2,0,20,10.0,2572.85,1.0,1.0,False,2,0,0,rw_c_benign_overlap__naive-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,naive,strategy,,2,4,gpt-5-mini,True,2,2,24.04,41712,1531,43243,0.01349,0,0.0,0,0,0,0,0.0,9,18,18,9,3,3,0,1,0,2,0,18,9.0,2402.3888888888887,1.0,1.0,False,2,0,0,rw_c_benign_overlap__naive-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,notify,strategy,,2,0,gpt-5-mini,True,2,2,37.14,46035,1791,47826,0.015091,0,0.0,0,0,1,1,0.0,10,19,19,10,3,3,0,2,1,2,1,19,9.5,2517.157894736842,1.0,1.0,False,2,0,0,rw_c_benign_overlap__notify-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,notify,strategy,,2,1,gpt-5-mini,True,2,2,33.91,62508,1840,64348,0.019307,0,0.0,0,0,2,2,0.0,15,24,24,15,3,3,0,0,2,2,2,24,12.0,2681.1666666666665,1.0,1.0,False,2,0,0,rw_c_benign_overlap__notify-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,notify,strategy,,2,2,gpt-5-mini,True,2,2,39.53,55321,1831,57152,0.017492,0,0.0,0,0,2,2,0.0,13,22,22,13,3,3,0,0,2,2,1,22,11.0,2597.818181818182,1.0,1.0,False,2,0,0,rw_c_benign_overlap__notify-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,notify,strategy,,2,3,gpt-5-mini,True,2,2,37.31,32617,1586,34203,0.011326,0,0.0,0,0,2,2,0.0,7,16,16,7,3,3,0,1,2,2,2,16,8.0,2137.6875,1.0,0.6666666666666666,False,2,0,0,rw_c_benign_overlap__notify-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_c_benign_overlap,benign_overlap_false_positive,True,notify,strategy,,2,4,gpt-5-mini,True,2,2,32.91,48498,1597,50095,0.015319,0,0.0,0,0,1,1,0.0,11,20,20,11,3,3,0,1,1,2,1,20,10.0,2504.75,1.0,1.0,False,2,0,0,rw_c_benign_overlap__notify-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,0,gpt-5-mini,False,2,3,34.67,60297,3000,63297,0.021074,0,0.0,0,0,0,0,0.016,14,24,23,14,3,3,0,0,2,2,0,24,12.0,2637.375,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,1,gpt-5-mini,True,3,3,42.59,100390,2838,103228,0.030773,0,0.0,0,0,0,0,0.012,16,31,31,16,4,4,0,4,2,4,0,31,15.5,3329.935483870968,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,2,gpt-5-mini,False,2,3,36.33,46430,2578,49008,0.016764,0,0.0,0,0,0,0,0.009,8,23,23,8,3,3,0,8,2,2,0,23,11.5,2130.782608695652,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,3,gpt-5-mini,False,2,3,36.01,71805,2575,74380,0.023101,0,0.0,0,0,0,0,0.013,15,26,26,15,3,3,0,4,2,2,0,26,13.0,2860.769230769231,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_dep,strategy,,2,4,gpt-5-mini,True,3,3,59.17,87120,3845,90965,0.02947,0,0.0,0,0,0,0,0.012,15,28,27,15,4,4,0,3,2,3,0,28,14.0,3248.75,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_dep-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,0,gpt-5-mini,False,2,3,33.12,77403,2649,80052,0.024649,0,0.0,0,0,0,0,0.008,16,27,27,16,4,4,0,2,2,2,0,27,13.5,2964.8888888888887,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r0.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,1,gpt-5-mini,False,2,3,36.37,51422,2443,53865,0.017742,0,0.0,0,0,0,0,0.014,11,21,21,11,3,3,0,3,2,2,0,21,10.5,2565.0,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r1.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,2,gpt-5-mini,False,2,3,43.11,67210,3293,70503,0.023388,0,0.0,0,0,0,0,0.01,14,25,25,14,3,3,0,4,2,2,0,25,12.5,2820.12,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r2.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,3,gpt-5-mini,False,2,3,28.0,66271,2564,68835,0.021696,0,0.0,0,0,0,0,0.005,15,25,25,15,3,3,0,2,2,2,0,25,12.5,2753.4,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r3.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,ast_scope,strategy,,2,4,gpt-5-mini,False,2,3,37.21,55252,4575,59827,0.022963,0,0.0,0,0,0,0,0.007,13,21,21,13,2,2,0,1,1,2,0,21,10.5,2848.904761904762,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__ast_scope-n2-r4.jsonl,grid-v1,openai,results/grid-v1
rw_d_tag_antidependency,antidependency_silent_invalidation,False,file_lock,strategy,,2,0,gpt-5-mini,True,3,3,51.57,55247,3114,58361,0.02004,0,0.0,1,0,0,0,0.0,12,22,22,12,3,3,0,3,1,2,0,22,11.0,2652.7727272727275,1.0,1.0,False,2,0,0,rw_d_tag_antidependency__file_lock-n2-r0.jsonl,grid-v1,openai,results/grid-v1
